;PC1;PC2;PC3;PC4;PC5;PC6;Campaign;Date
148;1.246623288;0.562218659;-1.22455707;-0.096012935;-0.928758892;0.124422026;BR-MW;2021-01-21 14:59:45
149;1.03445275;0.590153555;-1.318280631;-0.23055502;-0.941988597;0.113910294;BR-MW;2021-01-21 15:00:00
150;-0.944434422;-0.08649116;-0.958581868;-0.409054082;-0.986288477;-0.042906815;BR-MW;2021-01-21 15:00:15
151;1.80549694;0.751504908;-0.999276473;0.133539997;-0.801489806;0.116102611;BR-MW;2021-01-21 15:00:30
152;-2.711600052;-0.86905302;-0.576948986;-0.411296555;-1.018580605;-0.110128462;BR-MW;2021-01-21 15:00:45
153;-3.737745507;-2.061781252;0.158187972;0.282759119;-0.959876726;0.254562427;BR-MW;2021-01-21 15:01:00
154;1.918518879;0.842726658;-1.269549856;-0.026560969;-0.830464547;0.11904217;BR-MW;2021-01-21 15:01:15
155;0.266927664;-2.365969612;0.097021565;2.057597623;-0.990901317;1.620299888;BR-MW;2021-01-21 15:01:30
156;1.281509874;0.649507554;-1.381369518;-0.269194881;-1.010208519;-0.012201912;BR-MW;2021-01-21 15:01:45
157;0.627896446;0.386913132;-0.941806557;0.006963314;-0.910922977;0.079817833;BR-MW;2021-01-21 15:02:00
158;0.284538006;0.602652418;-1.21539663;-0.419512926;-0.851896009;-0.059079518;BR-MW;2021-01-21 15:02:15
159;0.779572242;0.566866929;-1.394275932;-0.389015225;-0.839511213;-0.002529005;BR-MW;2021-01-21 15:02:30
160;-0.395305677;0.151283243;-0.961381104;-0.31827944;-0.852782907;-0.094402698;BR-MW;2021-01-21 15:02:45
161;-0.621757413;-0.410804135;0.269905242;0.650023736;-0.709401021;0.038766427;BR-MW;2021-01-21 15:03:00
162;2.177891624;0.626643744;-1.207244602;0.206821576;-0.842906717;0.285551262;BR-MW;2021-01-21 15:03:15
163;0.602448575;0.567016957;-0.688596073;0.023942431;-0.800807565;-0.060827994;BR-MW;2021-01-21 15:03:30
164;2.250531548;0.896503934;-1.109999338;0.098526203;-0.774068124;0.071896532;BR-MW;2021-01-21 15:03:45
165;1.142674525;0.825223781;-1.013531274;-0.104741678;-0.725913629;0.024663124;BR-MW;2021-01-21 15:04:00
166;1.380234102;0.541930919;-1.081267059;0.067869149;-0.75770347;0.193487595;BR-MW;2021-01-21 15:04:15
167;0.905244641;0.750212733;-0.946314739;-0.135928862;-0.672144617;-0.052109459;BR-MW;2021-01-21 15:04:30
168;0.930106803;0.623924758;-0.8071987;-0.032776803;-0.626039207;-0.09842223;BR-MW;2021-01-21 15:04:45
